Entidade / Tela,Campo / Atributo,Tipo de Dado,Restrições,Regra de Negócio / Tratamento,Ciclo de Vida do Dado
Login,e-mail,Texto,Não nulo,Deve estar cadastrado,"Inserção (Create), Consulta (Read), Atualização (Update), Exclusão (Delete)"
Login,senha,Texto,Não nulo,Mínimo 8 caracteres com hash criptografado,"Inserção (Create), Consulta (Read), Atualização (Update)"
Usuário,id_usuario,Inteiro,Chave primária (PK),O sistema deve cadastrar automaticamente,"Inserção (Create), Consulta (Read), Atualização (Update), Exclusão (Delete)"
Usuário,senha,Texto,Não nulo,Mínimo 8 caracteres com hash criptografado,"Inserção (Create), Consulta (Read), Atualização (Update)"
Usuário,nome,Texto,Não nulo,Nome completo do usuário,"Inserção (Create), Consulta (Read), Atualização (Update)"
Usuário,cpf,Texto,"Único, Não nulo","Pode haver .,-","Inserção (Create), Consulta (Read)"
Usuário,email,Texto,"Único, Não nulo",Utilizado para login e comunicação,"Inserção (Create), Atualização (Update), Consulta (Read)"
Usuário,cargo,Texto,Nulo,Define as permissões do usuário,"Inserção (Create), Consulta (Read), Atualização (Update)"
Usuário,criado_em,Data/Hora,Não nulo,Data e hora de criação do registro,"Inserção (Create), Consulta (Read)"
Hospital,id_hospital,Inteiro,Chave primária (PK),O sistema deve cadastrar automaticamente,"Inserção (Create), Consulta (Read), Atualização (Update), Exclusão (Delete)"
Hospital,nome,Texto,Não nulo,Nome oficial do hospital,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hospital,cnpj,Texto,"Único, Não nulo",Deve ser único de cada hospital,"Inserção (Create), Consulta (Read)"
Hospital,endereco,Texto,Nulo,Endereço físico completo da unidade,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hospital,telefone,Texto,Não nulo,Telefone principal de contato,"Inserção (Create), Atualização (Update), Consulta (Read)"
Hospital,email,Texto,Não nulo,E-mail de contato institucional,"Inserção (Create), Consulta (Read), Atualização (Update)"
Hospital,criado_em,Data/Hora,Não nulo,Data e hora de cadastro da unidade,"Inserção (Create), Consulta (Read)"
Paciente,id_paciente,Inteiro,Chave primária (PK),O sistema deve cadastrar automaticamente,"Inserção (Create), Consulta (Read), Atualização (Update), Exclusão (Delete)"
Paciente,nome,Texto,Não nulo,Nome completo do paciente,"Inserção (Create), Consulta (Read), Atualização (Update), Exclusão (Delete)"
Paciente,cpf,Texto,"Único, Não nulo","Dado do paciente, pode haver","Inserção (Create), Consulta (Read)"
Paciente,data_nascimento,Data,Não nulo,Data de nascimento do paciente,"Inserção (Create), Consulta (Read), Atualização (Update)"
Paciente,telefone,Texto,Não nulo,Telefone de contato do paciente ou responsável,"Inserção (Create), Consulta (Read), Atualização (Update)"
